Tópico,Palavras,Pesos
0,", , , , , , , , , ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"community, electoral, court, decision, following, superior, brazil, tse, , ","[0.0308, 0.0307, 0.0307, 0.0307, 0.0306, 0.028, 0.0252, 0.0194, 0.0, 0.0]"
2,"urnas, votar, votos, voto, urna, impresso, votacao, fraude, votou, votando","[0.0087, 0.0076, 0.006, 0.0052, 0.0051, 0.0048, 0.0046, 0.0046, 0.0038, 0.0034]"
3,"twitter, pjmedia, ze, , , , , , , ","[0.3965, 0.0022, 0.0008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"pressione, botao, escrever, minutos, dentro, abaixo, poder, grupo, patricia, willian","[0.1067, 0.1041, 0.0928, 0.0818, 0.0578, 0.0472, 0.034, 0.0119, 0.0027, 0.0022]"
5,"brasilia, brasil, brasileiro, brasileiros, aguentam, brasileira, entregar, parar, brasildefato, manilha","[0.0074, 0.0071, 0.0064, 0.0047, 0.0031, 0.0029, 0.0028, 0.0027, 0.0025, 0.0024]"
6,"vacina, vacinas, pubmed, covid, covid19, pfizer, vacinacao, cdc, mrna, gbs","[0.0173, 0.0168, 0.0135, 0.0102, 0.0096, 0.0094, 0.0086, 0.0082, 0.0065, 0.0061]"
7,"tmeewlgmatrzgg3otlh, relate, digitando, perceber, administradores, convite, chame, familiares, fortes, vindoa","[0.0421, 0.0329, 0.0328, 0.0309, 0.0298, 0.0296, 0.0295, 0.0263, 0.0258, 0.0231]"
8,"presidente, pronunciamento, falou, trump, falar, acho, bob, atitude, calma, silencio","[0.0106, 0.0051, 0.0038, 0.0035, 0.0034, 0.0031, 0.0027, 0.0026, 0.0025, 0.0024]"
9,"ucrania, russia, putin, russo, otan, zelensky, nuclear, russos, kiev, ucraniano","[0.0245, 0.021, 0.0182, 0.0104, 0.0102, 0.0089, 0.0088, 0.0087, 0.0086, 0.0078]"
10,"pais, filhos, netos, familia, legado, geracoes, parents, futuro, filho, futuras","[0.0159, 0.0107, 0.008, 0.0062, 0.0045, 0.0036, 0.0036, 0.003, 0.003, 0.0029]"
11,"videos, video, data, antigo, local, compartilhar, postar, circulando, alguem, vi","[0.0209, 0.0158, 0.0079, 0.006, 0.004, 0.0039, 0.0039, 0.0038, 0.0038, 0.0037]"
12,"fraude, fraudes, fraudar, fraudaram, aceitar, provas, escancarada, certeza, turno, wirecard","[0.0331, 0.0127, 0.0047, 0.0045, 0.0043, 0.0042, 0.0036, 0.0034, 0.0034, 0.0033]"
13,"especulando, fatos, orientamos, chegados, especular, acessando, recem, atenciosamente, conheca, lembrese","[0.0617, 0.0512, 0.0505, 0.0505, 0.0502, 0.0499, 0.0498, 0.049, 0.0444, 0.0419]"
14,"gazetabrasil, thegatewaypundit, thefreethoughtproject, providaanapolis, tvbrasil, vereadorricardoteixeira, portaldocareiro, limpabrasilnews, wwwneurocienciasdrnassercom, esportenewsmundo","[1.2699, 0.039, 0.0098, 0.0059, 0.0059, 0.0059, 0.0059, 0.0059, 0.0059, 0.0059]"
